ax,ay,az,gx,gy,gz,magnitude,whip,timestamp
0.541,0.385,-0.531,-26.001,174.316,-112.183,0.850,-15.42,1773811347184
0.483,0.102,-0.330,-86.243,148.438,-58.777,0.594,-11.90,1773811347214
0.430,0.305,-0.490,-80.322,111.084,-4.822,0.719,-6.83,1773811347274
0.272,0.316,-0.539,-55.847,75.806,16.602,0.682,-4.51,1773811347304
0.278,0.478,-0.662,-72.754,52.917,56.824,0.863,-0.48,1773811347337
0.165,0.466,-0.691,-25.269,15.015,106.506,0.850,-0.01,1773811347397
0.006,0.390,-0.803,-11.292,-8.850,138.794,0.893,2.99,1773811347425
-0.027,0.293,-0.832,-27.161,-34.424,186.279,0.882,1.63,1773811347456
-0.309,0.151,-0.918,-14.465,-59.937,217.224,0.981,2.99,1773811347518
-0.415,0.027,-1.060,-30.762,-85.205,239.136,1.139,2.76,1773811347547
-0.468,0.001,-1.028,-12.695,-113.342,250.916,1.130,2.80,1773811347575
-0.487,-0.082,-1.342,-13.855,-140.625,261.230,1.430,5.37,1773811347638
-0.454,-0.166,-1.472,-41.443,-151.062,269.165,1.549,6.67,1773811347664
-0.393,-0.272,-1.585,-29.907,-141.418,280.334,1.655,6.74,1773811347695
-0.383,-0.264,-1.665,-20.508,-106.140,286.133,1.729,5.90,1773811347755
-0.430,-0.277,-1.721,48.279,-74.219,284.180,1.795,6.66,1773811347815
-0.304,-0.419,-1.723,85.693,-46.021,277.771,1.799,3.69,1773811347817
-0.224,-0.413,-1.579,140.015,-28.198,265.442,1.647,0.98,1773811347879
-0.185,-0.453,-1.502,162.231,-26.306,250.000,1.580,-0.75,1773811347905
-0.038,-0.434,-1.431,149.963,-21.606,234.863,1.496,-2.33,1773811347935
-0.030,-0.399,-1.272,167.114,-20.630,220.337,1.334,-4.62,1773811347996
-0.033,-0.279,-1.227,168.091,-23.743,203.369,1.259,-5.40,1773811348026
-0.064,-0.211,-1.234,168.213,-32.715,185.791,1.254,-3.93,1773811348054
-0.072,-0.133,-1.219,150.757,-46.814,171.997,1.228,-3.52,1773811348117
-0.169,-0.198,-1.161,144.409,-53.345,166.504,1.189,-3.06,1773811348144
-0.270,-0.191,-1.044,137.146,-66.040,155.701,1.096,-2.38,1773811348174
-0.273,-0.119,-0.841,124.390,-80.078,148.621,0.892,-3.67,1773811348237
-0.269,-0.048,-0.660,95.215,-100.769,140.259,0.715,-5.39,1773811348266
-0.212,-0.005,-0.542,48.584,-112.793,132.263,0.582,-6.47,1773811348325
-0.201,0.056,-0.482,53.711,-125.610,143.616,0.525,-6.64,1773811348354
-0.264,0.104,-0.513,40.283,-130.188,151.062,0.586,-5.10,1773811348385
-0.296,0.191,-0.423,1.282,-126.953,154.419,0.550,-3.42,1773811348445
-0.412,0.116,-0.448,19.287,-124.634,153.992,0.619,-0.95,1773811348475
-0.497,0.103,-0.484,23.682,-121.277,148.865,0.701,1.20,1773811348504
-0.578,-0.009,-0.531,3.906,-115.967,142.883,0.785,2.59,1773811348534
-0.674,-0.125,-0.634,17.029,-118.896,139.404,0.934,3.48,1773811348597
-0.645,-0.153,-0.783,-8.606,-119.141,131.836,1.026,4.76,1773811348625
-0.513,-0.365,-0.994,-23.987,-116.577,126.587,1.177,5.57,1773811348655
-0.261,-0.555,-1.229,-62.317,-100.342,116.272,1.374,6.73,1773811348721
0.002,-0.718,-1.251,-128.845,-74.463,124.207,1.443,6.58,1773811348744
0.550,-1.028,-1.252,-167.419,-55.115,148.987,1.711,7.77,1773811348835
2.044,-1.270,-1.021,-246.948,-76.416,204.590,2.614,15.88,1773811348864
2.998,-1.120,-0.799,-84.961,-175.476,94.116,3.299,21.22,1773811348927
3.758,-0.667,-0.991,26.917,-311.279,-119.629,3.943,25.69,1773811348954
4.000,-0.226,-1.706,139.404,-586.243,-713.684,4.354,29.12,1773811348984
3.994,-0.415,-2.508,429.749,-589.478,-1168.396,4.734,30.23,1773811349047
4.000,-1.268,-2.131,697.449,-200.989,-1322.998,4.706,20.92,1773811349076
4.000,-1.396,-1.897,607.605,255.310,-1079.102,4.642,13.43,1773811349104
3.836,-1.098,-1.125,311.890,386.230,-750.366,4.146,2.03,1773811349168
2.322,-0.856,-0.919,182.739,337.707,-514.343,2.640,-17.15,1773811349195
1.915,-0.664,-0.556,183.716,301.392,-346.008,2.101,-26.33,1773811349226
1.358,-0.320,-0.469,78.552,286.194,-232.422,1.472,-32.34,1773811349287
1.132,-0.206,-0.328,47.546,244.385,-157.654,1.197,-34.45,1773811349321
0.858,0.022,-0.209,7.507,213.928,-101.624,0.883,-32.63,1773811349345
0.559,0.171,-0.300,-13.306,173.584,-57.800,0.657,-19.82,1773811349407
0.264,0.369,-0.474,-96.375,144.897,5.249,0.656,-14.45,1773811349434
0.238,0.323,-0.473,-98.877,103.760,50.537,0.620,-8.52,1773811349464
0.227,0.505,-0.560,-82.520,55.237,67.139,0.788,-4.09,1773811349527
0.165,0.582,-0.659,-86.670,29.541,80.872,0.895,0.12,1773811349554
0.065,0.463,-0.719,-100.708,4.272,119.690,0.857,2.00,1773811349587
-0.027,0.502,-0.757,-90.942,-28.564,155.823,0.909,2.53,1773811349648
0.020,0.609,-0.787,-76.721,-56.641,204.712,0.996,3.76,1773811349675
-0.125,0.346,-0.996,-44.067,-84.473,208.679,1.062,2.74,1773811349705
-0.233,0.195,-1.018,-9.644,-108.887,204.651,1.063,1.68,1773811349764
-0.349,-0.112,-1.171,11.841,-132.080,213.562,1.227,3.70,1773811349794
-0.448,-0.177,-1.310,-18.982,-145.630,232.849,1.396,4.87,1773811349827
-0.381,-0.296,-1.430,-56.702,-140.808,256.409,1.509,5.13,1773811349887
-0.366,-0.477,-1.543,-55.176,-112.610,277.588,1.656,5.94,1773811349914
-0.405,-0.502,-1.617,2.563,-72.632,284.302,1.740,6.78,1773811349944
-0.429,-0.587,-1.859,60.852,-33.325,288.818,1.996,7.69,1773811350008
-0.357,-0.569,-1.887,125.122,-11.963,291.138,2.003,6.08,1773811350036
-0.321,-0.417,-1.828,159.729,-8.179,283.752,1.902,3.93,1773811350064
-0.166,-0.436,-1.702,166.931,-9.521,266.907,1.764,1.08,1773811350126
-0.128,-0.456,-1.719,199.219,-11.963,246.033,1.783,0.43,1773811350156
-0.094,-0.399,-1.513,214.355,-19.775,222.473,1.567,-4.29,1773811350187
-0.114,-0.412,-1.312,179.993,-26.855,199.097,1.379,-6.24,1773811350246
-0.132,-0.462,-1.173,163.757,-32.227,189.636,1.267,-6.34,1773811350275
-0.113,-0.387,-0.946,159.485,-43.457,170.532,1.028,-7.36,1773811350334
-0.130,-0.229,-0.744,151.489,-56.763,160.461,0.789,-9.94,1773811350364
-0.147,-0.198,-0.607,142.029,-79.224,155.701,0.655,-9.12,1773811350396
-0.202,-0.062,-0.514,113.281,-101.929,153.503,0.556,-8.23,1773811350426
-0.224,0.026,-0.457,89.783,-123.535,164.917,0.509,-7.58,1773811350485
-0.211,0.105,-0.433,48.096,-134.094,171.082,0.493,-5.35,1773811350514
-0.252,0.142,-0.422,19.592,-133.484,174.744,0.511,-2.78,1773811350544
-0.278,0.138,-0.434,32.593,-134.277,177.429,0.533,-1.22,1773811350605
-0.330,0.104,-0.498,22.583,-129.700,173.950,0.607,0.51,1773811350634
-0.432,0.055,-0.571,24.658,-129.211,175.720,0.719,2.09,1773811350667
-0.511,-0.009,-0.616,-0.122,-121.094,172.058,0.800,3.08,1773811350730
-0.541,-0.285,-0.750,13.977,-119.019,176.147,0.967,4.56,1773811350755
-0.370,-0.443,-0.847,-11.597,-106.079,183.960,1.025,4.92,1773811350786
-0.286,-0.689,-0.917,-48.096,-80.872,186.890,1.183,5.76,1773811350844
-0.074,-0.766,-0.966,-84.900,-60.791,185.181,1.235,5.16,1773811350876
0.186,-1.064,-1.008,-123.657,-41.321,186.157,1.478,6.77,1773811350904
0.690,-1.197,-0.941,-215.332,-10.254,188.293,1.672,7.05,1773811350995
2.255,-1.230,-0.955,-169.434,-65.063,180.115,2.741,17.16,1773811351057
3.114,-1.250,-1.179,7.690,-200.500,76.172,3.557,23.74,1773811351084
3.759,-0.573,-1.554,83.130,-389.099,-172.424,4.108,28.73,1773811351117
4.000,-0.192,-2.235,99.121,-606.873,-612.061,4.586,31.09,1773811351178
4.000,-0.115,-2.766,309.265,-684.814,-1102.112,4.865,31.93,1773811351206
4.000,-1.405,-2.537,663.513,-399.963,-1375.976,4.941,22.00,1773811351235
4.000,-1.486,-1.797,775.940,202.148,-1203.430,4.630,10.73,1773811351330
3.998,-1.227,-1.691,368.164,442.322,-846.497,4.511,4.04,1773811351332
2.666,-1.133,-0.991,168.030,397.644,-588.013,3.062,-15.25,1773811351356
1.943,-0.834,-0.573,197.754,345.825,-392.090,2.191,-26.74,1773811351417
1.532,-0.309,-0.568,130.066,317.444,-257.935,1.663,-32.77,1773811351445
1.378,-0.111,-0.337,61.890,283.081,-177.368,1.423,-32.07,1773811351479
0.916,0.041,-0.244,48.767,240.234,-106.567,0.949,-35.62,1773811351537
0.721,0.315,-0.285,64.270,206.970,-64.087,0.837,-22.25,1773811351570
0.545,0.420,-0.264,31.555,151.245,-9.155,0.737,-14.54,1773811351595
0.145,1.003,-0.493,-47.485,112.244,65.430,1.127,-5.36,1773811351657
0.285,0.566,-0.366,-133.179,100.220,110.352,0.732,-6.91,1773811351684
0.152,0.631,-0.529,-95.154,49.561,117.065,0.837,-1.12,1773811351715
0.109,0.842,-0.590,-99.365,19.470,144.165,1.034,1.97,1773811351779
-0.080,0.661,-0.548,-64.270,-20.569,174.499,0.862,1.25,1773811351806
-0.169,0.632,-0.604,-60.547,-57.068,192.200,0.890,-2.37,1773811351834
-0.290,0.472,-0.561,-65.247,-86.853,214.172,0.788,0.57,1773811351898
-0.353,0.287,-0.570,-46.814,-114.075,229.309,0.729,-1.08,1773811351925
-0.232,0.185,-0.578,8.484,-149.048,234.558,0.650,-3.85,1773811351954
-0.079,0.198,-0.756,0.549,-174.377,217.163,0.785,-0.77,1773811352017
-0.087,0.016,-1.075,-54.199,-181.152,200.256,1.079,1.89,1773811352046
-0.066,-0.262,-1.371,-73.242,-168.701,207.764,1.398,6.09,1773811352075
-0.184,-0.460,-1.619,-42.603,-151.062,241.760,1.693,9.64,1773811352137
-0.093,-0.555,-1.878,-49.255,-108.459,272.278,1.961,13.11,1773811352195
-0.167,-0.672,-1.995,-5.005,-66.101,293.030,2.112,13.27,1773811352197
-0.254,-0.763,-1.952,54.626,-34.058,302.429,2.111,10.32,1773811352255
-0.184,-0.691,-1.833,87.341,-11.841,301.636,1.968,5.70,1773811352284
-0.156,-0.713,-1.741,104.248,4.150,297.546,1.888,1.95,1773811352315
-0.067,-0.659,-1.541,162.476,3.357,282.349,1.678,-2.83,1773811352380
-0.027,-0.586,-1.452,173.950,-3.601,266.663,1.566,-5.47,1773811352405
0.024,-0.484,-1.359,171.631,-12.146,234.070,1.443,-6.67,1773811352435
-0.035,-0.483,-1.242,171.875,-22.522,208.130,1.333,-6.35,1773811352495
-0.031,-0.341,-1.100,173.096,-29.541,188.965,1.153,-7.35,1773811352527
-0.058,-0.375,-0.960,170.593,-45.288,159.363,1.032,-6.46,1773811352554
-0.126,-0.296,-0.895,143.372,-59.937,140.625,0.951,-6.15,1773811352617
-0.146,-0.265,-0.743,107.422,-72.876,127.319,0.802,-6.41,1773811352647
-0.179,-0.249,-0.705,79.590,-84.534,123.108,0.768,-5.65,1773811352680
-0.138,-0.044,-0.553,63.843,-96.069,125.854,0.572,-5.81,1773811352736
-0.154,0.038,-0.508,47.180,-109.802,142.517,0.532,-5.00,1773811352765
-0.200,0.067,-0.486,19.043,-122.925,159.119,0.530,-4.21,1773811352798
-0.232,0.156,-0.434,-26.123,-126.892,169.495,0.516,-2.86,1773811352856
-0.312,0.097,-0.411,-15.259,-130.981,175.842,0.525,-2.43,1773811352884
-0.412,0.033,-0.406,3.845,-128.906,177.551,0.579,0.07,1773811352914
-0.605,0.047,-0.568,12.634,-128.479,172.607,0.831,2.99,1773811352975
-0.755,-0.068,-0.761,4.883,-132.385,149.719,1.074,5.44,1773811353006
-0.699,-0.298,-0.912,18.921,-129.089,125.916,1.188,6.72,1773811353037
-0.422,-0.630,-1.120,-37.598,-91.309,114.929,1.353,8.28,1773811353099
-0.389,-0.805,-1.243,-74.768,-69.153,124.146,1.531,9.51,1773811353184
0.885,-1.272,-1.244,-331.848,2.197,227.905,1.987,11.56,1773811353215
1.743,-1.463,-1.072,-345.398,14.771,260.437,2.516,14.42,1773811353248
2.563,-1.462,-1.002,-115.540,-99.182,192.688,3.116,19.28,1773811353308
3.962,-1.368,-0.812,-62.256,-278.442,-43.884,4.269,29.16,1773811353334
3.596,-1.058,-1.548,40.283,-585.693,-490.295,4.055,25.24,1773811353399
4.000,-0.845,-2.377,270.325,-737.244,-984.741,4.729,27.42,1773811353424
4.000,-1.588,-2.316,624.939,-473.755,-1287.659,4.887,23.72,1773811353454
4.000,-1.492,-1.694,848.999,120.850,-1169.800,4.593,14.77,1773811353485
4.000,-0.969,-1.734,376.099,416.443,-843.689,4.466,1.97,1773811353548
3.049,-1.126,-0.934,151.550,390.564,-607.483,3.382,-6.73,1773811353575
1.831,-0.809,-0.690,196.533,328.369,-420.959,2.118,-26.11,1773811353606
1.629,-0.371,-0.520,192.139,283.813,-268.005,1.749,-31.38,1773811353664
1.243,-0.106,-0.320,47.974,265.503,-180.054,1.287,-33.05,1773811353694
0.836,-0.034,-0.314,38.086,218.323,-113.708,0.894,-35.72,1773811353731
0.679,0.177,-0.378,7.996,166.809,-48.462,0.797,-25.85,1773811353786
0.539,0.303,-0.388,-30.823,141.663,-18.188,0.730,-13.88,1773811353815
0.456,0.379,-0.410,-74.951,113.159,15.015,0.721,-10.29,1773811353847
0.278,0.525,-0.574,-115.051,84.290,56.763,0.826,-4.61,1773811353906
0.203,0.496,-0.625,-106.262,62.561,76.111,0.823,-0.71,1773811353934
0.112,0.445,-0.670,-76.660,30.151,96.680,0.812,0.16,1773811353966
0.029,0.503,-0.756,-62.683,3.601,109.192,0.908,1.78,1773811354028
-0.136,0.419,-0.775,-70.557,-18.188,133.850,0.892,1.71,1773811354087
-0.223,0.425,-0.789,-59.021,-49.683,165.466,0.923,0.97,1773811354088
-0.237,0.367,-0.778,-49.927,-89.111,198.853,0.892,0.69,1773811354145
-0.138,0.163,-0.914,-51.514,-117.126,219.238,0.938,1.26,1773811354174
-0.210,-0.089,-1.172,-44.373,-136.414,219.360,1.194,2.86,1773811354207
-0.380,-0.247,-1.270,-20.996,-148.804,231.445,1.348,4.56,1773811354324
-0.466,-0.356,-1.427,-1.282,-148.254,247.070,1.543,6.19,1773811354326
-0.374,-0.312,-1.552,-19.104,-126.953,263.794,1.627,7.34,1773811354328
-0.414,-0.345,-1.762,-18.860,-102.417,272.095,1.843,9.04,1773811354387
-0.385,-0.452,-1.847,-1.587,-71.655,281.311,1.940,7.46,1773811354416
-0.396,-0.557,-1.835,70.312,-45.959,286.682,1.958,6.10,1773811354517
-0.357,-0.357,-1.782,129.150,-38.940,282.104,1.852,3.09,1773811354519
-0.279,-0.355,-1.745,123.108,-36.194,272.766,1.802,1.76,1773811354535
-0.230,-0.323,-1.607,168.518,-31.616,253.174,1.655,-1.87,1773811354563
-0.169,-0.339,-1.474,202.270,-33.752,231.018,1.522,-4.18,1773811354626
-0.190,-0.267,-1.273,208.984,-37.598,215.698,1.315,-6.43,1773811354654
-0.188,-0.234,-1.103,166.443,-49.561,187.683,1.143,-7.09,1773811354684
-0.179,-0.225,-1.021,142.395,-57.678,168.884,1.060,-7.42,1773811354753
-0.190,-0.240,-0.950,131.226,-63.782,155.212,0.998,-6.58,1773811354776
-0.197,-0.167,-0.851,111.694,-67.993,142.456,0.889,-6.33,1773811354805
-0.224,-0.112,-0.724,94.238,-76.233,132.263,0.766,-5.49,1773811354866
-0.205,0.049,-0.576,80.078,-89.111,124.878,0.613,-5.30,1773811354896
-0.216,0.180,-0.501,64.636,-104.858,137.390,0.574,-4.86,1773811354926
-0.285,0.193,-0.498,26.917,-116.211,147.888,0.606,-3.92,1773811354987
-0.316,0.244,-0.422,7.324,-124.939,150.146,0.581,-3.09,1773811355016
-0.420,0.180,-0.423,27.405,-133.423,149.841,0.623,-1.44,1773811355077
-0.414,0.115,-0.390,14.709,-128.662,153.076,0.580,-0.33,1773811355104
-0.555,0.016,-0.495,1.038,-120.117,157.410,0.744,1.70,1773811355134
-0.666,-0.106,-0.621,48.950,-138.733,156.128,0.917,3.11,1773811355166
-0.625,-0.166,-0.809,-33.569,-131.470,150.818,1.035,4.55,1773811355229
-0.498,-0.432,-0.894,-76.965,-115.784,149.719,1.111,4.88,1773811355256
-0.359,-0.651,-1.009,-95.215,-86.792,160.278,1.253,6.73,1773811355285
-0.061,-0.865,-1.115,-158.997,-63.354,182.373,1.412,6.69,1773811355349
0.362,-1.140,-1.170,-255.066,-39.246,201.843,1.674,7.57,1773811355437
1.848,-1.392,-0.816,-182.068,-79.041,188.049,2.453,14.18,1773811355465
3.167,-1.259,-0.233,-66.223,-202.942,-8.850,3.416,23.05,1773811355496
2.506,-0.894,-1.025,116.699,-424.072,-398.987,2.851,15.98,1773811355556
4.000,-0.831,-1.810,221.619,-562.378,-828.491,4.468,30.56,1773811355587
3.986,-0.932,-2.057,485.962,-435.242,-1103.210,4.582,29.08,1773811355617
4.000,-0.936,-1.671,748.291,-27.588,-1102.234,4.435,19.82,1773811355679
3.996,-0.512,-1.563,532.471,318.054,-857.178,4.321,9.05,1773811355706
3.081,-0.637,-1.042,234.375,367.065,-596.985,3.314,4.63,1773811355734
2.027,-0.384,-0.734,135.132,308.533,-408.630,2.190,-22.78,1773811355797
1.749,0.000,-0.414,118.652,253.235,-279.114,1.798,-27.84,1773811355855
1.184,0.109,-0.431,99.854,208.435,-148.376,1.264,-31.71,1773811355857
1.030,0.134,-0.394,21.667,176.086,-72.876,1.111,-32.10,1773811355925
0.760,0.161,-0.339,16.235,134.583,-29.480,0.847,-24.67,1773811355944
0.537,0.198,-0.533,-20.630,104.492,5.310,0.782,-14.07,1773811355975
0.451,0.201,-0.455,-54.016,76.904,32.593,0.672,-11.26,1773811356039
0.307,0.246,-0.447,-56.641,62.439,39.062,0.596,-6.68,1773811356067
0.125,0.224,-0.480,-10.803,16.541,51.819,0.545,-5.66,1773811356095
0.007,0.525,-0.688,-59.387,-12.451,82.336,0.866,0.18,1773811356156
-0.066,0.666,-0.543,-17.639,-68.726,164.307,0.862,0.79,1773811356187
0.069,0.135,-0.813,-52.673,-102.783,170.044,0.827,1.55,1773811356216
-0.058,0.095,-0.800,-39.612,-128.479,171.143,0.807,2.11,1773811356277
-0.101,-0.037,-1.193,-30.273,-155.518,178.955,1.198,6.53,1773811356305
-0.220,-0.136,-1.356,-50.842,-180.908,184.387,1.381,5.15,1773811356336
-0.159,-0.290,-1.535,-83.557,-182.190,213.684,1.570,7.08,1773811356400
-0.184,-0.414,-1.792,-97.107,-167.297,245.422,1.849,10.22,1773811356424
-0.240,-0.571,-1.918,-101.257,-133.118,289.185,2.016,12.09,1773811356455
-0.112,-0.706,-1.755,-53.284,-99.304,326.599,1.895,6.97,1773811356516
0.097,-0.595,-1.492,10.010,-85.449,358.948,1.609,2.29,1773811356543
0.142,-0.758,-1.535,9.155,-54.260,367.065,1.718,1.48,1773811356574
0.330,-0.426,-1.261,109.985,-63.599,375.366,1.372,-4.77,1773811356639
0.547,-0.430,-1.401,86.853,-73.242,359.375,1.565,-4.51,1773811356667
0.567,-0.505,-1.223,1.282,-33.081,350.342,1.440,-4.56,1773811356695
0.474,-0.346,-1.094,87.524,-14.526,337.463,1.242,-3.68,1773811356757
0.332,-0.269,-1.062,63.782,-15.259,324.768,1.144,-5.74,1773811356784
0.226,-0.291,-0.963,34.973,-26.306,299.133,1.031,-3.40,1773811356816
0.223,-0.278,-0.878,20.081,-24.963,259.338,0.947,-6.17,1773811356876
0.105,-0.339,-0.943,15.320,-25.635,222.168,1.008,-4.32,1773811356904
0.014,-0.331,-0.899,9.521,-21.912,181.396,0.958,-2.84,1773811356940
-0.037,-0.226,-0.921,15.625,-27.893,149.719,0.949,-1.95,1773811356997
-0.111,-0.146,-0.872,-21.851,-19.409,117.554,0.891,-1.40,1773811357024
-0.190,-0.063,-0.858,-4.456,-23.254,96.436,0.881,-0.66,1773811357054
-0.182,0.035,-0.906,13.916,-31.677,76.477,0.924,-0.84,1773811357120
-0.115,0.086,-0.948,-35.645,-21.484,68.909,0.958,0.00,1773811357144
-0.142,0.105,-0.930,-27.588,-19.958,67.322,0.947,-0.03,1773811357175
-0.050,0.130,-0.908,-37.109,-7.996,75.623,0.918,0.27,1773811357238
-0.104,0.019,-0.886,-49.072,2.502,93.140,0.893,0.11,1773811357276
-0.130,-0.025,-0.884,-76.111,7.507,107.239,0.893,-0.31,1773811357326
-0.163,-0.171,-0.870,-67.261,1.160,120.117,0.902,-0.57,1773811357354
-0.122,-0.281,-0.861,-72.815,-2.686,123.291,0.914,-0.33,1773811357384
-0.028,-0.420,-0.856,-67.993,-9.766,124.573,0.954,0.36,1773811357416
0.044,-0.579,-0.828,-98.511,-14.709,115.967,1.011,1.19,1773811357475
0.360,-0.704,-0.775,-104.553,-17.944,115.967,1.107,2.14,1773811357506
0.577,-0.867,-0.689,-174.805,-9.827,116.821,1.249,3.47,1773811357535
0.979,-0.986,-0.533,-130.615,-30.029,118.713,1.488,5.74,1773811357599
1.368,-0.936,-0.365,-97.961,-60.730,82.764,1.697,7.43,1773811357687
2.945,-1.110,-0.240,119.141,-268.799,-293.091,3.156,21.45,1773811357752
4.000,-1.296,-0.724,171.875,-404.236,-602.905,4.267,31.59,1773811357753
3.990,-1.006,-1.735,196.838,-478.516,-911.499,4.465,32.17,1773811357806
4.000,-0.950,-2.227,302.917,-450.867,-1136.658,4.676,31.88,1773811357834
4.000,-1.448,-1.244,698.120,-113.220,-1141.174,4.432,27.35,1773811357864
3.950,-0.654,-1.303,650.757,326.172,-855.652,4.211,10.54,1773811357926
2.531,-0.513,-1.038,220.703,406.067,-560.486,2.783,-14.84,1773811357954
1.639,-0.460,-0.599,52.795,329.285,-388.428,1.804,-26.61,1773811357987
1.212,0.039,-0.667,35.156,258.057,-228.760,1.384,-32.92,1773811358046
1.104,-0.127,-0.618,10.925,206.604,-125.244,1.272,-31.60,1773811358074
0.915,-0.053,-0.519,-13.550,172.424,-91.553,1.053,-31.58,1773811358105
0.660,-0.094,-0.472,10.681,128.357,-56.946,0.817,-19.66,1773811358178
0.493,0.002,-0.569,-2.686,97.534,-25.208,0.753,-10.51,1773811358196
0.396,0.159,-0.506,-19.836,62.195,13.245,0.662,-7.22,1773811358226
0.357,0.263,-0.452,-18.555,18.433,50.720,0.633,-6.39,1773811358287
0.368,0.317,-0.461,-29.968,-24.841,94.177,0.670,-3.83,1773811358315
0.237,0.244,-0.542,-74.219,-52.979,115.173,0.640,-1.77,1773811358344
0.116,0.048,-0.614,-88.074,-88.257,143.188,0.627,-1.26,1773811358404
-0.107,-0.007,-1.152,-148.621,-123.596,171.997,1.157,4.96,1773811358440
-0.324,-0.083,-1.517,-260.193,-142.700,219.482,1.553,9.20,1773811358469
-0.463,-0.249,-1.880,-260.803,-124.878,256.775,1.952,12.82,1773811358527
-0.378,-0.599,-2.091,-102.722,-68.604,288.269,2.208,15.68,1773811358555
-0.629,-0.372,-2.032,44.678,-40.894,298.279,2.159,15.32,1773811358585
-0.457,-0.333,-1.769,50.171,-22.034,294.189,1.857,6.99,1773811358647
-0.310,-0.501,-1.573,93.384,-7.202,278.320,1.680,1.26,1773811358708
-0.328,-0.471,-1.476,110.474,-0.305,258.728,1.584,-3.68,1773811358710
-0.124,-0.500,-1.417,132.446,1.831,244.080,1.508,-7.00,1773811358765
-0.001,-0.463,-1.417,175.781,-3.845,230.041,1.491,-6.68,1773811358794
0.165,-0.408,-1.344,171.204,-12.268,220.642,1.414,-4.43,1773811358826
0.222,-0.394,-1.274,155.762,-17.761,205.688,1.352,-3.27,1773811358885
0.151,-0.357,-1.164,158.630,-22.217,196.289,1.227,-3.56,1773811358948
0.036,-0.285,-1.154,148.499,-30.518,179.993,1.189,-3.19,1773811358949
-0.039,-0.254,-1.066,117.798,-37.659,169.373,1.097,-3.94,1773811359005
-0.037,-0.189,-0.978,102.234,-50.598,156.006,0.997,-4.17,1773811359038
-0.044,-0.045,-0.779,103.516,-65.674,154.724,0.781,-5.71,1773811359064
-0.048,0.082,-0.735,88.440,-82.581,169.312,0.741,-4.87,1773811359126
-0.108,0.106,-0.668,35.461,-88.806,176.147,0.685,-5.04,1773811359158
-0.178,0.104,-0.526,50.903,-95.337,179.382,0.565,-5.32,1773811359187
-0.273,0.132,-0.465,52.551,-100.403,177.002,0.555,-4.42,1773811359245
-0.416,0.004,-0.449,36.926,-100.281,180.603,0.612,-1.69,1773811359276
-0.555,-0.136,-0.511,28.687,-108.276,191.895,0.767,0.26,1773811359304
-0.641,-0.262,-0.514,0.854,-118.469,200.378,0.862,1.77,1773811359366
-0.622,-0.590,-0.699,-5.798,-140.625,210.571,1.106,5.42,1773811359396
-0.277,-0.819,-0.778,-74.707,-125.244,219.727,1.163,6.07,1773811359425
0.000,-1.119,-0.930,-146.729,-86.121,236.755,1.455,8.43,1773811359486
0.229,-1.252,-0.942,-202.759,-62.012,254.028,1.583,8.16,1773811359514
1.029,-1.403,-0.741,-301.636,-34.912,255.493,1.891,10.29,1773811359544
1.820,-1.404,-0.479,-245.361,-42.358,208.557,2.348,12.42,1773811359608
2.947,-1.320,-0.329,-92.590,-112.732,128.845,3.246,20.84,1773811359697
4.000,-0.636,-1.839,237.610,-532.166,-640.686,4.448,29.93,1773811359725
3.998,-0.552,-2.607,438.110,-523.315,-1176.636,4.804,32.21,1773811359788
4.000,-1.206,-2.190,667.114,-156.250,-1305.664,4.717,28.26,1773811359815
4.000,-0.859,-1.769,645.935,305.786,-1053.223,4.457,21.09,1773811359848
3.998,-0.818,-1.226,472.229,451.965,-678.528,4.261,10.15,1773811359875
2.669,-0.745,-0.911,227.783,452.515,-407.349,2.917,-15.31,1773811359935
2.061,-0.537,-0.462,106.445,378.113,-233.887,2.179,-26.25,1773811359964
1.352,0.005,-0.079,106.018,278.809,-109.863,1.354,-33.63,1773811359995
0.978,-0.007,-0.365,25.635,199.097,-36.499,1.044,-34.14,1773811360055
0.860,0.104,-0.112,-50.964,146.790,2.625,0.874,-33.87,1773811360087
0.514,0.179,-0.247,-54.626,93.201,32.410,0.598,-23.19,1773811360114
0.336,0.213,-0.318,-99.792,59.021,71.289,0.509,-16.70,1773811360205
-0.046,0.507,-0.475,-63.293,1.770,105.591,0.697,-6.57,1773811360206
0.125,0.368,-0.446,-80.566,-59.082,150.635,0.591,-4.53,1773811360234
0.056,0.418,-0.509,-87.402,-104.370,197.449,0.661,-2.13,1773811360325
-0.045,0.195,-0.811,-110.291,-139.587,229.858,0.835,2.37,1773811360327
-0.349,-0.013,-1.208,-115.234,-169.617,257.568,1.257,7.48,1773811360354
-0.378,-0.177,-1.611,-69.824,-194.824,287.720,1.665,9.68,1773811360418
-0.455,-0.217,-2.051,-45.471,-184.753,304.321,2.112,15.21,1773811360444
-0.598,-0.359,-2.491,-19.043,-134.644,321.838,2.587,19.26,1773811360475
-0.656,-0.493,-2.446,148.254,-66.406,313.293,2.580,17.45,1773811360536
-0.792,-0.477,-2.180,254.883,-57.007,299.500,2.368,11.11,1773811360566
-0.738,-0.464,-1.862,257.874,-73.059,275.269,2.056,3.92,1773811360595
-0.401,-0.520,-1.662,219.055,-78.979,254.028,1.787,-3.25,1773811360655
-0.219,-0.640,-1.512,203.430,-70.862,235.596,1.656,-9.31,1773811360684
