ax,ay,az,gx,gy,gz,magnitude,whip,timestamp
2.182,-0.512,-1.015,236.267,135.498,-567.749,2.460,1.59,1773811336834
1.664,-0.244,-0.857,203.064,163.452,-456.970,1.887,-10.25,1773811336865
1.255,-0.112,-0.572,119.385,178.650,-362.427,1.384,-19.49,1773811336933
1.061,0.032,-0.511,61.768,181.702,-282.837,1.178,-22.01,1773811336956
0.789,0.151,-0.394,38.025,173.096,-223.511,0.895,-21.57,1773811337045
0.708,0.309,-0.431,16.418,161.377,-179.504,0.884,-15.76,1773811337047
0.490,0.298,-0.465,10.864,142.395,-141.052,0.738,-11.49,1773811337074
0.419,0.389,-0.474,-13.611,129.822,-102.112,0.743,-6.41,1773811337104
0.237,0.447,-0.464,-66.956,128.967,-73.425,0.687,-4.91,1773811337168
0.028,0.778,-0.682,-107.483,124.573,-35.889,1.035,1.40,1773811337197
-0.123,0.620,-0.696,-108.276,106.873,-8.057,0.940,0.56,1773811337225
-0.229,0.776,-0.706,-95.520,83.740,1.587,1.074,3.36,1773811337314
-0.285,0.744,-0.729,-87.158,75.012,9.277,1.080,3.36,1773811337316
-0.450,0.844,-0.748,-72.083,59.570,34.302,1.214,5.28,1773811337344
-0.419,0.729,-0.688,-49.072,50.659,45.776,1.087,0.51,1773811337409
-0.488,0.687,-0.699,-31.189,47.791,40.649,1.095,1.54,1773811337434
-0.525,0.597,-0.573,25.818,43.823,35.339,0.980,-0.94,1773811337464
-0.622,0.508,-0.563,73.059,34.058,37.292,0.981,-0.99,1773811337525
-0.689,0.253,-0.517,81.116,23.071,44.800,0.898,-3.16,1773811337554
-0.637,0.594,-0.491,36.133,21.545,66.528,1.000,-0.86,1773811337587
-0.769,0.337,-0.456,-1.648,20.752,64.880,0.956,-1.39,1773811337674
-0.717,0.371,-0.490,22.339,20.325,72.571,0.944,-0.36,1773811337676
-0.732,0.481,-0.547,22.217,23.682,63.660,1.033,0.52,1773811337704
-0.777,0.494,-0.640,32.654,25.940,46.265,1.121,2.23,1773811337766
-0.849,0.444,-0.705,46.631,23.071,27.588,1.190,1.89,1773811337795
-0.861,0.394,-0.689,58.716,17.700,13.306,1.171,2.15,1773811337823
-0.884,0.306,-0.738,41.504,13.245,3.662,1.191,2.47,1773811337887
-0.883,0.240,-0.746,36.499,5.005,-0.549,1.180,1.47,1773811337914
-0.880,0.211,-0.721,29.358,-3.662,-0.671,1.157,0.36,1773811337944
-0.803,0.212,-0.645,28.809,-15.137,-1.404,1.051,-1.38,1773811338007
-0.776,0.245,-0.586,21.729,-19.470,-2.014,1.003,-1.68,1773811338034
-0.781,0.263,-0.545,7.690,-20.874,-3.601,0.988,-2.03,1773811338064
-0.753,0.314,-0.483,5.798,-15.442,-6.897,0.948,-2.32,1773811338128
-0.756,0.300,-0.484,-5.493,-7.324,-7.080,0.947,-2.10,1773811338154
-0.763,0.271,-0.490,-9.644,3.113,2.686,0.946,-1.05,1773811338184
-0.763,0.306,-0.471,-15.259,11.047,12.817,0.948,-0.55,1773811338249
-0.762,0.335,-0.480,-24.902,19.409,19.226,0.961,-0.27,1773811338274
-0.787,0.341,-0.500,-26.855,25.635,21.423,0.993,0.44,1773811338305
-0.807,0.341,-0.500,-25.269,30.396,21.118,1.009,0.62,1773811338367
-0.828,0.332,-0.490,-26.062,33.691,19.165,1.018,0.72,1773811338396
-0.880,0.285,-0.506,-29.297,33.936,18.005,1.054,1.06,1773811338424
-0.992,0.197,-0.525,-34.119,30.762,18.311,1.139,1.78,1773811338485
-1.072,0.138,-0.547,-51.636,27.039,19.226,1.211,2.18,1773811338517
-1.017,0.040,-0.537,-32.776,17.944,18.311,1.151,1.42,1773811338545
-1.010,-0.057,-0.429,0.122,7.507,21.606,1.099,0.80,1773811338607
-1.008,-0.086,-0.337,12.207,0.305,28.137,1.066,0.13,1773811338635
-0.925,0.006,-0.231,-6.165,0.671,29.602,0.954,-1.86,1773811338665
-0.852,0.056,-0.253,-22.400,7.568,13.916,0.890,-3.21,1773811338727
-0.828,0.052,-0.286,-15.381,10.437,-0.244,0.877,-2.73,1773811338756
-0.856,-0.004,-0.326,-3.357,9.521,-16.479,0.916,-1.83,1773811338784
-0.908,-0.077,-0.368,-2.136,4.089,-16.418,0.983,-0.83,1773811338844
-0.913,-0.090,-0.392,-1.953,-4.211,-8.789,0.997,0.44,1773811338874
-0.938,-0.080,-0.412,-5.920,-12.085,0.244,1.028,1.38,1773811338908
-0.937,-0.051,-0.423,-8.179,-16.479,5.188,1.029,1.52,1773811338967
-0.948,-0.034,-0.436,-3.357,-17.029,4.639,1.044,1.28,1773811338994
-0.938,-0.023,-0.434,1.526,-14.404,0.061,1.034,0.51,1773811339026
-0.957,-0.049,-0.419,5.127,-10.132,-3.845,1.045,0.48,1773811339085
-0.967,-0.076,-0.406,5.798,-5.981,-4.639,1.052,0.24,1773811339115
-0.969,-0.081,-0.382,6.653,-2.930,-2.380,1.045,0.15,1773811339144
-0.943,-0.056,-0.342,6.226,-0.427,0.610,1.004,-0.40,1773811339206
-0.905,-0.005,-0.319,2.869,2.319,2.258,0.959,-0.74,1773811339236
-0.882,0.033,-0.327,0.061,3.906,1.282,0.941,-1.04,1773811339265
-0.872,0.065,-0.370,-2.502,3.967,-0.488,0.949,-1.02,1773811339327
-0.859,0.079,-0.406,9.216,-0.183,-3.479,0.953,-0.92,1773811339357
-0.869,0.088,-0.407,17.761,-6.042,-5.676,0.963,-0.41,1773811339384
-0.846,0.106,-0.387,19.104,-13.245,-8.179,0.936,-0.23,1773811339448
-0.793,0.143,-0.386,23.437,-18.127,-10.559,0.894,-0.48,1773811339477
-0.797,0.118,-0.436,23.315,-26.978,-12.817,0.916,-0.34,1773811339505
-0.808,0.079,-0.535,35.583,-38.330,-8.606,0.972,0.19,1773811339565
-0.830,0.086,-0.583,46.509,-46.875,-2.991,1.018,0.55,1773811339595
-0.822,0.100,-0.608,64.819,-58.899,8.667,1.027,0.91,1773811339625
-0.809,0.160,-0.652,62.439,-65.491,20.264,1.051,1.58,1773811339686
-0.743,0.227,-0.740,60.669,-71.960,29.053,1.073,1.57,1773811339718
-0.717,0.251,-0.833,67.688,-80.322,34.119,1.128,1.55,1773811339747
-0.650,0.247,-0.879,55.481,-87.219,40.100,1.120,1.02,1773811339809
-0.689,0.144,-0.957,44.861,-93.750,53.223,1.188,1.61,1773811339834
-0.657,-0.035,-0.744,30.029,-87.585,81.055,0.994,-0.57,1773811339865
-0.644,0.106,-0.864,31.616,-75.012,96.802,1.083,0.10,1773811339927
-0.589,0.256,-1.085,55.603,-81.238,100.952,1.261,1.33,1773811339955
-0.491,0.298,-0.952,69.519,-89.966,88.196,1.112,-0.08,1773811339984
-0.443,0.174,-0.873,61.584,-96.313,81.848,0.994,-1.94,1773811340050
-0.438,0.075,-0.841,51.819,-97.778,87.219,0.951,-0.43,1773811340075
-0.484,-0.012,-0.358,45.959,-68.848,106.140,0.602,-4.81,1773811340105
-0.500,0.045,-1.032,51.147,-32.959,121.704,1.147,-1.14,1773811340168
-0.343,0.205,-1.253,59.814,-42.236,125.244,1.316,2.03,1773811340195
-0.366,0.114,-0.945,63.171,-58.716,113.281,1.020,0.25,1773811340227
-0.438,0.147,-0.766,40.649,-28.564,118.530,0.894,-0.57,1773811340287
-0.284,0.153,-1.032,46.387,-21.484,121.094,1.082,4.80,1773811340315
-0.230,0.193,-1.074,77.759,-15.808,125.854,1.115,-0.32,1773811340344
-0.276,0.369,-1.057,93.872,-21.301,120.422,1.153,-1.62,1773811340408
-0.290,0.266,-1.075,81.665,-14.282,117.432,1.145,1.25,1773811340435
-0.277,0.334,-1.109,65.552,-17.578,115.540,1.191,2.97,1773811340467
-0.247,0.406,-1.045,80.994,-20.142,105.774,1.148,0.67,1773811340525
-0.216,0.338,-1.202,88.440,-15.381,95.947,1.267,1.52,1773811340554
-0.222,0.330,-1.135,95.825,-13.733,90.210,1.203,0.50,1773811340586
-0.231,0.320,-1.070,107.422,-13.550,87.646,1.140,-0.04,1773811340647
-0.254,0.338,-1.031,108.948,-14.099,86.182,1.114,-0.77,1773811340708
-0.288,0.300,-0.951,109.741,-14.709,87.891,1.038,-1.10,1773811340710
-0.354,0.326,-0.967,107.361,-18.860,88.806,1.081,-1.86,1773811340769
-0.397,0.151,-0.990,103.821,-29.846,91.614,1.077,-1.26,1773811340794
-0.401,0.081,-0.833,105.835,-42.847,97.656,0.928,-2.13,1773811340824
-0.363,0.019,-0.698,105.164,-61.035,102.478,0.787,-3.28,1773811340887
-0.383,0.020,-0.586,88.257,-72.083,103.638,0.701,-3.38,1773811340915
-0.329,0.043,-0.436,62.012,-84.351,97.473,0.548,-5.32,1773811340947
-0.388,0.145,-0.402,75.012,-105.591,105.103,0.577,-5.01,1773811341036
-0.345,0.129,-0.448,69.580,-120.605,110.107,0.580,-3.48,1773811341038
-0.319,0.129,-0.491,32.166,-135.620,114.197,0.599,-1.87,1773811341064
-0.320,0.080,-0.520,32.043,-140.808,114.197,0.616,-0.85,1773811341126
-0.414,0.053,-0.651,25.208,-141.846,118.042,0.774,2.25,1773811341155
-0.495,0.045,-0.739,-9.094,-136.047,121.399,0.890,3.14,1773811341186
-0.632,-0.087,-0.867,-17.761,-137.024,127.930,1.077,4.97,1773811341245
-0.599,-0.262,-1.005,-45.776,-134.521,137.817,1.199,6.00,1773811341274
-0.421,-0.410,-1.083,-81.055,-114.563,149.475,1.232,6.16,1773811341306
-0.192,-0.708,-1.179,-126.465,-86.609,168.823,1.389,6.15,1773811341368
0.123,-0.849,-1.105,-193.054,-49.622,187.317,1.399,5.09,1773811341394
0.483,-1.137,-1.070,-214.050,-32.776,195.984,1.634,5.57,1773811341488
1.471,-1.275,-0.740,-167.969,-66.833,105.713,2.083,8.84,1773811341515
2.284,-1.305,-0.473,-42.542,-149.658,-20.325,2.673,14.40,1773811341575
2.759,-1.172,-0.615,93.140,-219.849,-170.166,3.060,16.71,1773811341606
2.992,-0.753,-1.444,152.100,-369.019,-583.923,3.406,20.07,1773811341636
4.000,-0.656,-1.693,226.929,-396.240,-853.760,4.393,27.58,1773811341696
3.994,-0.690,-1.697,327.454,-306.824,-955.505,4.394,23.11,1773811341724
4.000,-0.686,-1.459,497.742,-20.203,-920.166,4.313,16.40,1773811341754
3.770,-0.506,-1.164,401.794,188.538,-765.930,3.978,9.18,1773811341818
2.483,-0.402,-0.858,217.590,252.258,-581.055,2.657,-7.49,1773811341846
1.760,-0.335,-0.689,119.873,225.281,-429.321,1.919,-24.73,1773811341875
1.392,-0.243,-0.403,65.796,203.857,-305.420,1.469,-29.25,1773811341936
1.110,-0.131,-0.355,13.245,182.495,-212.646,1.173,-31.40,1773811341973
0.954,-0.021,-0.247,-19.226,166.504,-144.043,0.986,-29.93,1773811341994
