ax,ay,az,gx,gy,gz,magnitude,timestamp
-1.089,0.032,-0.079,43.518,125.000,43.030,1.092,1773724745478
-0.996,0.051,-0.160,76.782,123.169,51.270,1.010,1773724745538
-1.087,0.092,-0.175,89.294,101.868,73.120,1.105,1773724745565
-1.169,0.129,-0.186,80.872,43.640,50.049,1.191,1773724745599
-1.028,0.106,-0.207,34.302,32.166,49.255,1.054,1773724745686
-0.847,0.109,-0.221,63.843,-13.184,28.564,0.882,1773724745688
-1.139,0.156,-0.105,73.547,-57.495,6.165,1.155,1773724745718
-1.050,0.093,-0.081,44.678,-43.091,-27.649,1.057,1773724745782
-0.890,0.034,-0.081,32.288,-32.288,-23.193,0.895,1773724745805
-0.974,0.040,-0.053,28.748,-20.264,-11.108,0.977,1773724745838
-0.924,0.015,-0.048,31.860,-14.404,-11.230,0.925,1773724745898
-1.005,0.011,-0.018,46.814,-15.991,-2.991,1.005,1773724745924
-1.007,0.002,-0.005,57.129,-15.991,-3.967,1.007,1773724745954
-0.953,-0.026,0.024,80.078,-23.010,-9.827,0.954,1773724746021
-1.007,0.018,0.026,72.632,7.568,24.353,1.007,1773724746045
-0.867,-0.004,0.006,97.778,2.625,8.118,0.867,1773724746075
-1.128,0.050,0.037,85.327,33.997,22.766,1.130,1773724746138
-1.132,0.016,-0.016,67.383,79.407,8.362,1.132,1773724746168
-1.129,0.019,-0.066,101.013,78.186,24.170,1.131,1773724746198
-1.502,0.110,-0.064,115.479,138.550,86.731,1.508,1773724746289
-1.977,0.266,-0.245,73.853,258.789,247.620,2.010,1773724746348
-1.899,0.294,-0.363,26.855,200.928,270.081,1.955,1773724746375
-0.848,0.224,-0.612,-68.298,69.458,255.188,1.070,1773724746407
-0.377,0.227,-0.569,-20.325,-291.809,189.880,0.719,1773724746434
-1.348,0.354,-0.150,-52.307,-547.607,109.802,1.402,1773724746503
-1.888,0.338,0.124,-72.449,-655.640,-59.326,1.922,1773724746586
-2.612,0.231,0.384,-107.910,-585.754,-345.215,2.650,1773724746618
-2.380,0.132,0.446,-45.776,-492.187,-397.339,2.425,1773724746646
-1.792,-0.040,0.465,-3.540,-284.241,-435.486,1.851,1773724746708
-1.241,-0.240,0.430,56.335,-60.974,-369.141,1.335,1773724746735
-1.180,-0.302,0.302,124.512,143.738,-244.080,1.255,1773724746767
-1.234,-0.259,0.132,189.392,311.279,-62.195,1.268,1773724746832
-1.637,-0.062,-0.039,225.098,388.733,121.399,1.639,1773724746857
-1.687,0.056,-0.113,298.706,318.542,238.525,1.691,1773724746887
-1.613,0.180,-0.163,280.151,237.244,328.491,1.632,1773724746952
-1.464,0.282,-0.169,275.085,97.107,296.448,1.501,1773724746978
-1.290,0.322,-0.100,221.008,-20.386,240.723,1.334,1773724747005
-1.049,0.314,-0.033,174.927,-64.575,100.220,1.096,1773724747036
-0.911,0.257,0.028,195.251,-100.220,-5.127,0.947,1773724747101
-0.893,0.154,0.093,158.325,-46.326,-98.022,0.911,1773724747126
-0.990,0.079,0.082,156.921,57.678,-113.647,0.996,1773724747189
-1.166,0.043,0.014,148.254,199.280,-92.102,1.167,1773724747217
-1.354,0.048,-0.096,143.555,312.744,-20.142,1.358,1773724747248
-1.896,0.154,-0.159,220.520,328.369,45.837,1.909,1773724747337
-2.271,0.297,-0.314,181.519,240.051,205.383,2.312,1773724747399
-2.561,0.381,-0.311,85.449,115.479,268.250,2.608,1773724747424
-1.339,0.307,-0.542,34.302,-0.610,251.282,1.477,1773724747455
-1.618,0.402,-0.359,3.845,-274.902,278.137,1.706,1773724747486
